V,I,sigma_V,sigma_I
0.113,0.0,0.0002886751345948129,2.8867513459481292e-08
0.218,0.0,0.0002886751345948129,2.8867513459481292e-08
0.327,0.0,0.0002886751345948129,2.8867513459481292e-08
0.404,3.2000000000000003e-06,0.0002886751345948129,2.8867513459481292e-08
0.432,6.8e-06,0.0002886751345948129,2.8867513459481292e-08
0.458,1.4599999999999999e-05,0.0002886751345948129,2.8867513459481292e-08
0.536,0.000133,0.0002886751345948129,5.773502691896258e-07
0.593,0.00055,0.0002886751345948129,1.4433756729740647e-06
0.612,0.000935,0.0002886751345948129,1.4433756729740647e-06
0.624,0.00126,0.0002886751345948129,2.8867513459481293e-06
0.637,0.0017,0.0002886751345948129,2.8867513459481293e-06
0.65,0.00238,0.0002886751345948129,2.8867513459481293e-06
0.667,0.00352,0.0002886751345948129,2.8867513459481293e-06
0.681,0.00513,0.0002886751345948129,2.8867513459481293e-06
0.698,0.0077,0.0002886751345948129,5.773502691896259e-06
0.712,0.01127,0.0002886751345948129,5.773502691896259e-06
0.728,0.01576,0.0002886751345948129,5.773502691896259e-06
0.735,0.02,0.0002886751345948129,1.4433756729740646e-05
0.744,0.0241,0.0002886751345948129,1.4433756729740646e-05
0.754,0.0321,0.0002886751345948129,1.4433756729740646e-05
0.765,0.04365,0.0002886751345948129,1.4433756729740646e-05
0.771,0.0515,0.0002886751345948129,1.4433756729740646e-05
0.782,0.0662,0.0002886751345948129,4.330127018922193e-05
0.791,0.0837,0.0002886751345948129,0.00014433756729740645
0.804,0.112,0.0002886751345948129,0.0002886751345948129
0.848,0.335,0.0002886751345948129,0.0002886751345948129
0.863,0.369,0.0002886751345948129,0.0002886751345948129
0.879,0.527,0.0002886751345948129,0.0002886751345948129
