t,V
2.2e-06,0.11999999999999988
2.4e-06,0.11999999999999988
2.6e-06,0.11999999999999988
2.8e-06,0.11999999999999988
3e-06,0.15999999999999992
3.2e-06,0.11999999999999988
3.4e-06,0.11999999999999988
3.6e-06,0.15999999999999992
3.8e-06,0.15999999999999992
4e-06,0.15999999999999992
4.2e-06,0.19999999999999996
4.4e-06,0.15999999999999992
4.6e-06,0.15999999999999992
4.8e-06,0.15999999999999992
5e-06,0.24
5.2e-06,0.24
5.4e-06,0.24
5.6e-06,0.19999999999999996
5.8e-06,0.24
6e-06,0.24
6.2e-06,0.24
6.4e-06,0.28
6.6e-06,0.28
6.8e-06,0.28
7e-06,0.28
7.2e-06,0.28
7.4e-06,0.31999999999999984
7.6e-06,0.31999999999999984
7.8e-06,0.3599999999999999
8e-06,0.31999999999999984
8.2e-06,0.3599999999999999
8.4e-06,0.31999999999999984
8.6e-06,0.31999999999999984
8.8e-06,0.3599999999999999
9e-06,0.3599999999999999
9.2e-06,0.3999999999999999
9.4e-06,0.3599999999999999
9.6e-06,0.3599999999999999
9.8e-06,0.3599999999999999
1e-05,0.3599999999999999
1.02e-05,0.3999999999999999
1.04e-05,0.43999999999999995
1.06e-05,0.3999999999999999
1.08e-05,0.43999999999999995
1.1e-05,0.43999999999999995
1.12e-05,0.43999999999999995
1.14e-05,0.43999999999999995
1.16e-05,0.43999999999999995
1.18e-05,0.43999999999999995
1.2e-05,0.52
1.22e-05,0.43999999999999995
1.24e-05,0.48
1.26e-05,0.48
1.28e-05,0.48
1.3e-05,0.52
1.32e-05,0.52
1.34e-05,0.52
1.36e-05,0.52
1.38e-05,0.5999999999999999
1.4e-05,0.52
1.42e-05,0.52
1.44e-05,0.5599999999999998
1.46e-05,0.5599999999999998
1.48e-05,0.5599999999999998
1.5e-05,0.5999999999999999
1.52e-05,0.5999999999999999
1.54e-05,0.5599999999999998
1.56e-05,0.6399999999999999
1.58e-05,0.5999999999999999
1.6e-05,0.5999999999999999
1.62e-05,0.6399999999999999
1.64e-05,0.6399999999999999
1.66e-05,0.5999999999999999
1.68e-05,0.6399999999999999
1.7e-05,0.6799999999999999
1.72e-05,0.6799999999999999
1.74e-05,0.6799999999999999
1.76e-05,0.6799999999999999
1.78e-05,0.6399999999999999
1.8e-05,0.72
1.82e-05,0.6799999999999999
1.84e-05,0.72
1.86e-05,0.72
1.88e-05,0.6799999999999999
1.9e-05,0.6799999999999999
1.92e-05,0.6799999999999999
1.94e-05,0.72
1.96e-05,0.76
1.98e-05,0.76
2e-05,0.76
2.02e-05,0.72
2.04e-05,0.8
2.06e-05,0.8
2.08e-05,0.76
2.1e-05,0.8
2.12e-05,0.76
2.14e-05,0.8
2.16e-05,0.8
2.18e-05,0.8
2.2e-05,0.8
2.22e-05,0.8
2.24e-05,0.76
2.26e-05,0.8399999999999999
2.28e-05,0.8
2.3e-05,0.8
2.32e-05,0.8399999999999999
2.34e-05,0.8399999999999999
2.36e-05,0.8399999999999999
2.38e-05,0.8399999999999999
2.4e-05,0.8399999999999999
2.42e-05,0.8399999999999999
2.44e-05,0.8799999999999999
2.46e-05,0.8799999999999999
2.48e-05,0.8799999999999999
2.5e-05,0.8799999999999999
2.52e-05,0.8799999999999999
2.54e-05,0.9199999999999999
2.56e-05,0.8799999999999999
2.58e-05,0.8799999999999999
2.6e-05,0.9199999999999999
2.62e-05,0.9199999999999999
2.64e-05,0.8799999999999999
2.66e-05,0.9199999999999999
2.68e-05,0.9199999999999999
2.7e-05,0.9199999999999999
2.72e-05,0.96
2.74e-05,0.96
2.76e-05,0.96
2.78e-05,0.96
2.8e-05,1.0
2.82e-05,1.0
2.84e-05,1.0
2.86e-05,1.0
2.88e-05,1.0
2.9e-05,1.0
2.92e-05,1.0
2.94e-05,1.0
2.96e-05,1.04
2.98e-05,1.0
3e-05,1.0
3.02e-05,1.0
3.04e-05,1.0
3.06e-05,1.0
3.08e-05,1.04
3.1e-05,1.04
3.12e-05,1.04
3.14e-05,1.04
3.16e-05,1.04
3.18e-05,1.08
3.2e-05,1.04
3.22e-05,1.08
3.24e-05,1.08
3.26e-05,1.08
3.28e-05,1.08
3.3e-05,1.08
3.32e-05,1.08
3.34e-05,1.12
3.36e-05,1.12
3.38e-05,1.12
3.4e-05,1.08
3.42e-05,1.08
3.44e-05,1.1600000000000001
3.46e-05,1.12
3.48e-05,1.12
3.5e-05,1.1600000000000001
3.52e-05,1.12
3.54e-05,1.12
3.56e-05,1.12
3.58e-05,1.12
3.6e-05,1.16
3.62e-05,1.12
3.64e-05,1.16
3.66e-05,1.2
3.68e-05,1.16
3.7e-05,1.16
3.72e-05,1.16
3.74e-05,1.16
3.76e-05,1.16
3.78e-05,1.16
3.8e-05,1.16
3.82e-05,1.16
3.84e-05,1.2
3.86e-05,1.2
3.88e-05,1.24
3.9e-05,1.2
3.92e-05,1.2
3.94e-05,1.2
3.96e-05,1.24
3.98e-05,1.28
4e-05,1.2
4.02e-05,1.24
4.04e-05,1.2
4.06e-05,1.2
4.08e-05,1.24
4.1e-05,1.28
4.12e-05,1.2
4.14e-05,1.28
4.16e-05,1.28
4.18e-05,1.28
4.2e-05,1.24
4.22e-05,1.28
4.24e-05,1.24
4.26e-05,1.28
4.28e-05,1.28
4.3e-05,1.28
4.32e-05,1.3199999999999998
4.34e-05,1.3199999999999998
4.36e-05,1.2799999999999998
4.38e-05,1.3199999999999998
4.4e-05,1.2799999999999998
4.42e-05,1.2799999999999998
4.44e-05,1.2799999999999998
4.46e-05,1.3599999999999999
4.48e-05,1.2799999999999998
4.5e-05,1.2799999999999998
4.52e-05,1.2799999999999998
4.54e-05,1.3199999999999998
4.56e-05,1.3599999999999999
4.58e-05,1.3599999999999999
4.6e-05,1.3199999999999998
4.62e-05,1.3199999999999998
4.64e-05,1.3599999999999999
4.66e-05,1.3599999999999999
4.68e-05,1.3599999999999999
4.7e-05,1.3199999999999998
4.72e-05,1.3199999999999998
4.74e-05,1.3599999999999999
4.76e-05,1.3599999999999999
4.78e-05,1.3599999999999999
4.8e-05,1.4
4.82e-05,1.3599999999999999
4.84e-05,1.3599999999999999
4.86e-05,1.3599999999999999
4.88e-05,1.4
4.9e-05,1.4
4.92e-05,1.4
4.94e-05,1.4
4.96e-05,1.44
4.98e-05,1.4
5e-05,1.4
5.02e-05,1.4
5.04e-05,1.44
5.06e-05,1.4
5.08e-05,1.44
5.1e-05,1.44
5.12e-05,1.44
5.14e-05,1.4
5.16e-05,1.44
5.18e-05,1.44
5.2e-05,1.44
5.22e-05,1.44
5.24e-05,1.44
5.26e-05,1.44
5.28e-05,1.44
5.3e-05,1.44
5.32e-05,1.48
5.34e-05,1.48
