ls,lr,V,err_V
1,105,1.82,0.02
4,105,1.90,0.02
5,105,1.80,0.02
7,105,1.95,0.02
9,105,1.84,0.02
10,105,1.99,0.02
11,105,1.98,0.02
12,105,1.90,0.02
13,105,2.05,0.02
14,105,2.13,0.02
15,105,2.02,0.02
16,105,2.13,0.02
17,105,2.31,0.02
18,105,2.22,0.02
19,105,2.26,0.02
20,105,2.52,0.02
21,105,2.45,0.02
22,105,2.46,0.02
23,105,2.70,0.02
24,105,2.65,0.02
25,105,2.63,0.02
26,105,2.78,0.02
27,105,2.74,0.02
28,105,2.71,0.02
29,105,2.70,0.02
30,105,2.81,0.02
31,105,2.84,0.02
32,105,2.86,0.02
33,105,3.01,0.02
34,105,3.18,0.02
35,105,3.14,0.02
36,105,3.20,0.02
37,105,3.35,0.02
38,105,3.44,0.02
39,105,3.28,0.02
40,105,3.50,0.02
41,105,3.73,0.02
